Brand,Caliber,Grain,Description,BC
Barnes,.243 Win,90,Harvest,
Barnes,.270 Win,140,Harvest,
Barnes,.30-06 Sprg,168,TSX BT,
Barnes,.30-06 Sprg,180,Harvest,
Barnes,.308 Win,165,Harvest,
Barnes,.308 Win,168,TSX BT,
Barnes,.300 Win Mag,165,TSX,
Barnes,.300 Win Mag,180,Harvest,
Barnes,6.5 Creedmoor,140,Harvest,
Barnes,9mm Luger,115,VOR-TX,
Barnes,9mm Luger +P,115,TAC-XP,
Balistix,.25 Cal,100,HunTac,0.380
Balistix,6.5mm,125,HunTac,0.450
Balistix,6mm,85,Target,0.280
Balistix,9.3mm,230,UltraHunt,0.390
Balistix,7mm,140,HunTac,0.485
Balistix,.375 Cal,250,Ultra Hunt,0.440
Balistix,.308 Cal,175,Target,0.496
Balistix,.308 Cal,175,HunTac,0.496
Balistix,6.5mm,115,HunTac,0.410
Balistix,.338 Cal,250,HunTac,0.650
Balistix,.303 Cal,170,HunTac,0.380
Balistix,.30 Cal,165,HunTac,0.410
Balistix,.30 Cal,155,HunTac,0.390
Balistix,.277 Cal,130,HunTac,0.460
Balistix,6.5mm,120,HunTac,0.430
Balistix,6mm,85,HunTac,0.280
Balistix,6mm,75,HunTac,0.250
Balistix,.375 Cal,250,Target,0.440
Balistix,.30 Cal,165,Target,0.410
Balistix,.338 Cal,250,Target,0.650
Balistix,.30 Cal,155,Target,0.390
Balistix,.277 Cal,130,Target,0.460
Balistix,7mm,140,Target,0.485
Balistix,6mm,75,Target,0.250
CCI,.22 LR,32,Stinger Varmint CP HP,
CCI,.22 LR,36,Mini-Mag Varmint CP HP,
CCI,.22 LR,40,Blazer,
CCI,.22 LR,40,Quiet-22 LRN Target,
CCI,.22 LR,40,Standard Velocity LRN Target,
CCI,.22 LR,40,SubSonic LHP Small Game,
CCI,.22 WMR,40,Maxi-Mag JHP,
Eley,.22 LR,38,Subsonic Hollow,
Eley,.22 LR,40,Club Round Nose,
Eley,.22 LR,40,Contact RN Subsonic Semi-Auto,
Eley,.22 LR,40,Match Patented Flat Nose,
Eley,.22 LR,40,Pistol Plus Round Nose,
